DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Barguna Sadar,100162,KARAITALA SONAKHALI GAGON MEMORIAL HIGH SCHOOL,GAGON ALI SAROK,BARGUNA,1309100162,PRIVATE,Yes
Barguna,Barguna Sadar,100164,TETUL BARIA HIGH SCHOOL,TETUL BARIA,S. TETULBARIA,1740860795,PRIVATE,Yes
Barguna,Barguna Sadar,100165,SHIALIA MI HIGH SCHOOL,SHIALA,SHIALIA,1309100165,PRIVATE,Yes
Barguna,Barguna Sadar,100166,NALI MAITHA HIGH SCHOOL,MAITHA,MAITHA,1309100166,PRIVATE,Yes
Barguna,Barguna Sadar,100167,LEMUA KHAJURA PK. HIGH SCHOOL,LEMUA,KHAJURA,1309100167,PRIVATE,Yes
Barguna,Barguna Sadar,100168,BAWALKER D K JR HIGH SCHOOL,BAWALKER,BAWALKER,1309100168,PRIVATE,Yes
Barguna,Barguna Sadar,100169,PARIRKHAL HIGH SCHOOL,PARIRKHAL,PARIRKHAL,1711328747,PRIVATE,Yes
Barguna,Barguna Sadar,100170,AYLA SECONDARY SCHOOL,ADHABARIA,ADABARIA,1309100170,PRIVATE,Yes
Barguna,Barguna Sadar,100171,BASHBUNIA HIGH SCHOOL,BARGUNA,BARGUNA,1766102305,PRIVATE,Yes
Barguna,Barguna Sadar,100172,BURIRCHAR A.M.G HIGH SCHOOL,BURIR CHAR,BURIR CHAR,1309100172,PRIVATE,Yes
Barguna,Barguna Sadar,100174,AYLA PATAKA SONAR BANGLA HIGH SCHOOL,JANGALIA,JANGALIA,1734756730,PRIVATE,Yes
Barguna,Barguna Sadar,100175,DALVANGA B M HIGH SCHOOL,DALBHANGA,DALBHANGA,1721539630,PRIVATE,Yes
Barguna,Barguna Sadar,100176,FUL DHALUA KATHAL TALI HIGH SCHOOL,FUL DHALUA,DHALBANGA,1309100176,PRIVATE,Yes
Barguna,Barguna Sadar,100177,CHARAKGACHHIA PROGOTI HIGH SCHOOL,CHARAKGACHHIA,NOLI,1309100177,PRIVATE,Yes
Barguna,Barguna Sadar,100178,AMTALI A.K. ADRSHA HIGH SCHOOL,AMTALI,HEWLIBUNIA,1710744166,PRIVATE,Yes
Barguna,Barguna Sadar,100179,BARGUNA MAITHA HIGH SCHOOL,KHAJURTALA MATHA,BARGUNA,1309100179,PRIVATE,Yes
Barguna,Barguna Sadar,100180,UDAYAN  JUNIOR  HIGH SCHOOL,CHARAK  GACHIA,KHAKBUNIA,1309100180,PRIVATE,Yes
