DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Kawkhali (Betbunia),107701,POWAPARA GOVT. MODEL HIGH SCHOOL,POWAPARA ,KALAMPATI,1827129126,PUBLIC,No
Rangamati,Kawkhali (Betbunia),107702,GHAGRA HIGH SCHOOL,GHAGRA,GHAGRA,1552606321,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107703,BETBUNIA HIGH SCHOOL,BETBUNIA,BETBUNIA,1817785717,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107704,UTTAR MUBACHRI JUNIOR HIGH SCHOOL,PORAPARA,KALAMPATI,1552485370,PRIVATE,No
Rangamati,Kawkhali (Betbunia),107705,HARANGI PARA HIGH SCHOOL,LEVA PARA,GHAGRA,1857655002,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107706,PANCHARI HIGH SCHOOL,PANCHARI,KALAMPUTI,1837835928,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107707,KAWKHALI GIRLS HIGH SCHOOL,KAWKHALI SADAR,KALAMPATI,1816129820,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107708,NAILLACHARI HIGH SCHOOL,NAILACARI,KALAMPATI,1826989320,PRIVATE,No
Rangamati,Kawkhali (Betbunia),107709,KHASKALI HIGH SCHOOL,MONAIPARA,BETBUNIA,1821909636,PRIVATE,No
Rangamati,Kawkhali (Betbunia),107710,TALUKDERPARA JU SCHOOL,TALUKDERPARA,KALAMPATI,1820351065,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107711,GHAGRA GIRLS  HIGH SCHOOL,DEWAN PARA,GHAGRA,1818284585,PRIVATE,Yes
Rangamati,Kawkhali (Betbunia),107712,TARABONIA JU HIGH SCHOOL,TARABUNIA,BETBUNIA ,1830554690,PRIVATE,No
Rangamati,Kawkhali (Betbunia),137554,PURBA SHIAL BUKKA GOVT. PRIMARY SCHOOL,PURAN BOSTI,BETBUNIA,1554718828,GOVERNMENT PRIMARY,No
Rangamati,Kawkhali (Betbunia),137886,BARMACHARI BAZAR GOVT. PRIMARY SCHOOL,BARMACHARI MUKH,KHIRAM,1552606482,GOVERNMENT PRIMARY,No
Rangamati,Belai Chhari  Upazi,107718,BELAI CHARI GOVT. HIGH SCHOOL,BELAICHARI,BELAICHARI,1817720502,PUBLIC,Yes
Rangamati,Belai Chhari  Upazi,107719,KANGRACHARI JUNIOR HIGH SCHOOL,KANGRACHARI,BELAICHARI,1558948432,PRIVATE,No
Rangamati,Belai Chhari  Upazi,107720,FARUA HIGH SCHOOL,GHOAINCHARI,BELAICHARI,1552867750,PRIVATE,Yes
Rangamati,Belai Chhari  Upazi,137553,DUPSHIL GOVT. PRIMARY SCHOOL,DUPSHIL,BELAICHHARI,1556707091,GOVERNMENT PRIMARY,No
Rangamati,Kaptai  Upazila,107722,K.R.C. HIGH SCHOOL,BARAGHONIA,CHANDRAGHONA,1823707783,PRIVATE,No
Rangamati,Kaptai  Upazila,107723,KAPTAI BIDYUT UNNAYAN BOARD MADHYMIK SCHOOL,KAPTAI PROJECT,KAPTAI PROJECT,1554216787,PRIVATE,No
Rangamati,Kaptai  Upazila,107724,NARANGIRI GOVT. HIGH SCHOOL,NARANGIRI,CHANDRAGHONA,1817712601,PUBLIC,No
Rangamati,Kaptai  Upazila,107725,PAHARIKA HIGH SCHOOL,CHANDROGHONA,CHANDRAGHONA,1818737785,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107726,CHITMOROM HIGH SCHOOL,CHITMOROM,SHIL CHARI,1827367098,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107727,SAHID SAMSUDDIN GIRLS HIGH SCHOOL,CHOWDHURY CHORA,KAPTAI PROJECT,1813189123,PRIVATE,No
Rangamati,Kaptai  Upazila,107728,DONGNALA HIGH SCHOOL,DONGNALA,RAIKHALI BAZAR,1815340096,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107729,KAPTAI HIGH SCHOOL,SHILPO ALAKA,KAPTAI,1814213874,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107730,WAGGA HIGH SCHOOL,SAPSARI,BAROI CHARI,1859754874,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107731,BOROICHORI KARNAFULY NURUL H.K. HIGH SCGOOL,BORAICHARI,BORAICHARI,1862087788,PRIVATE,Yes
Rangamati,Kaptai  Upazila,107732,BHALUKIYA JR. HIGH SCHOOL,BHALUKIYA,RAIKHALI BAZAR,1818437585,PRIVATE,No
Rangamati,Kaptai  Upazila,107734,SAKRACHARI  HIGH SCHOOL,SAKRACHARI,BARAICHARI,1811867218,PRIVATE,No
Rangamati,Kaptai  Upazila,137557,RAIKHALI REFUGEEPARA GOVT. PRIMARY SCHOOL,à¦°à¦¿à¦«à¦¿à¦‰à¦œà¦¿ à¦ªà¦¾à§œà¦¾,RAIKHALIBAZAR,1816117920,GOVERNMENT PRIMARY,No
Rangamati,Jurai Chhari Upazil,107740,BANA JOGI CHARA HIGH SCHOOL,BANA JOGI CHARA R 104,JURACHHARI,1557430462,PRIVATE,Yes
Rangamati,Jurai Chhari Upazil,107741,BHUBAN JOY GOVT HIGH SCHOOL,ARAICHARI R7,JURA CHARI,1556558852,PUBLIC,No
Rangamati,Jurai Chhari Upazil,107742,GHILATALI JUNIOR HIGH SCHOOL,GHILATALI,JURAI CHHARI,1552924235,PRIVATE,Yes
Rangamati,Jurai Chhari Upazil,107743,SUBALONG KHAGRACHARI  HIGH SCHOOL,DEBACHARA,JURACHARI,1557106062,PRIVATE,Yes
Rangamati,Jurai Chhari Upazil,137558,SHUKNACHARI GOVT. PRIMARY SCHOOL,SHUKNACHARI,JURACHHARI,1556532760,GOVERNMENT PRIMARY,No
Rangamati,Langadu  Upazila,107744,VASHANNYA ADAM ISLAMI HIGH SCHOOL,VASANNYA ADAM,LANGADU,1839647311,PRIVATE,Yes
Rangamati,Langadu  Upazila,107745,UGAL CHARI MOHAJAN PARA HIGH SCHOOL,BOIRAGI BAJAR,LONGADU,1815624043,PRIVATE,Yes
Rangamati,Langadu  Upazila,107746,LONGADU GOVT HIGH SCHOOL,TINTILA,LONGADU,1537238709,PUBLIC,No
Rangamati,Langadu  Upazila,107747,KATTALI HIGH SCHOOL,BORO KATTALI,LONGADU,1554571492,PRIVATE,Yes
