DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Kaptai,107731,BOROICHORI KARNAFULY NURUL H.K. HIGH SCGOOL,BORAICHARI,BORAICHARI,1862087788,PRIVATE,Yes
Rangamati,Kaptai,107732,BHALUKIYA JR. HIGH SCHOOL,BHALUKIYA,RAIKHALI BAZAR,1818437585,PRIVATE,No
Rangamati,Kaptai,107734,SAKRACHARI  HIGH SCHOOL,SAKRACHARI,BARAICHARI,1811867218,PRIVATE,No
Rangamati,Kaptai,137557,RAIKHALI REFUGEEPARA GOVT. PRIMARY SCHOOL,à¦°à¦¿à¦«à¦¿à¦‰à¦œà¦¿ à¦ªà¦¾à§œà¦¾,RAIKHALIBAZAR,1816117920,GOVERNMENT PRIMARY,No
Rangamati,Juraichari,107740,BANA JOGI CHARA HIGH SCHOOL,BANA JOGI CHARA R 104,JURACHHARI,1557430462,PRIVATE,Yes
Rangamati,Juraichari,107741,BHUBAN JOY GOVT HIGH SCHOOL,ARAICHARI R7,JURA CHARI,1556558852,PUBLIC,No
Rangamati,Juraichari,107742,GHILATALI JUNIOR HIGH SCHOOL,GHILATALI,JURAI CHHARI,1552924235,PRIVATE,Yes
Rangamati,Juraichari,107743,SUBALONG KHAGRACHARI  HIGH SCHOOL,DEBACHARA,JURACHARI,1557106062,PRIVATE,Yes
Rangamati,Juraichari,137558,SHUKNACHARI GOVT. PRIMARY SCHOOL,SHUKNACHARI,JURACHHARI,1556532760,GOVERNMENT PRIMARY,No
Rangamati,Langadu,107744,VASHANNYA ADAM ISLAMI HIGH SCHOOL,VASANNYA ADAM,LANGADU,1839647311,PRIVATE,Yes
Rangamati,Langadu,107745,UGAL CHARI MOHAJAN PARA HIGH SCHOOL,BOIRAGI BAJAR,LONGADU,1815624043,PRIVATE,Yes
Rangamati,Langadu,107746,LONGADU GOVT HIGH SCHOOL,TINTILA,LONGADU,1537238709,PUBLIC,No
Rangamati,Langadu,107747,KATTALI HIGH SCHOOL,BORO KATTALI,LONGADU,1554571492,PRIVATE,Yes
Rangamati,Langadu,107748,KARALLYA CHARY R.S.HIGH SCHOOL,KARALYACHARA,MAINIMUKH,1820365798,PRIVATE,Yes
Rangamati,Langadu,107749,GULSHAKHALI ADARSHA HIGH SCHOOL,GULSHAKHALI,MAINIMUKH,1869103690,PRIVATE,Yes
Rangamati,Langadu,107750,MAINIMUKH MODEL HIGH SCHOOL,MAINIMUKH,MAINIMUKH,1856487107,PRIVATE,Yes
Rangamati,Langadu,107751,RABITA MODEL HIGH SCHOOL,MUSLIM BLOCK,MAINI MUKH,1818095342,PRIVATE,Yes
