DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Domar ,124851,KHANKAYA KERAMATIA HIGH SCHOOL,NIJ BHOGDABURI,CHILAHATI,1712566010,PRIVATE,Yes
Nilphamari,Domar ,124852,KETKIBARI HIGH SCHOOL,KETKIBARI,CHILAHATI,1723097476,PRIVATE,Yes
Nilphamari,Domar ,124853,ATIA BARI HIGH SCHOOL,ATIA BARI,SHEOT GARI,1718220414,PRIVATE,Yes
Nilphamari,Domar ,124854,JORABARI GIRLS HIGH SCHOOL,JORABARI,MIRZAGONJ,1309124854,PRIVATE,Yes
Nilphamari,Domar ,124855,DAKSHIN CHAND KHANA JUNIOR SCHOOL,DAKSHIN CHAND KHANA,CHILAHATI,1725182150,PRIVATE,Yes
Nilphamari,Domar ,124856,BROGACHHA B.L.-LETTAREL  HIGH SCHOOL,BARAGACHHA,SONARAY,1796770058,PRIVATE,Yes
Nilphamari,Domar ,124857,SONARAY FARMHAT JUNIOR HIGH SCHOOL,SONARAY,SONARAY,1309124857,PRIVATE,Yes
Nilphamari,Domar ,124858,PASCHIM BORAGARI  HIGH SCHOOL,PASCHIM BORAGARI,DOMAR,1717977220,PRIVATE,Yes
Nilphamari,Domar ,124859,BARA ROUTA HIGH SCHOOL,BARA ROUTA,DOMAR,1719540553,PRIVATE,Yes
Nilphamari,Domar ,124860,PANGA GIRLS HIGH SCHOOL,PANGA,MELA PANGA,1718703930,PRIVATE,Yes
Nilphamari,Domar ,124861,BAMUNIA JUNIOR GIRLS SCHOOL,BAMUNIA,BAMUNIA,1309124861,PRIVATE,Yes
Nilphamari,Domar ,124862,HALHALIA ADARSHA BIDYA NIKETAN,HALHALIA,MIRZAGONJ,1721442939,PRIVATE,Yes
Nilphamari,Domar ,124863,SHAHRIN ISLAM CHOW. (TUHIN) JUNIOR SCHOOL,CHOTO RAUTA,DOMAR,1710868313,PRIVATE,Yes
Nilphamari,Domar ,124865,BORAGARI GIRLS HIGH SCHOOL,7TH BORAGARI,BORAGARI,1309124865,PRIVATE,Yes
